Food,CarbPer100g
mandarine,7.7
weißbrot,49.1
armenische Pita,47.6
banane,21.8
kirsche,11.3
aprikose,9.0
pfirsisch,11.3
pflaume,9.6
backpflaume,57.5
karotte,6.9
wassermelone,5.8
melone,7.4
